Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,4.245700098627763,2.4544021616752985,4.056090499415542,5.442176870748299
2,3.827594343706858,6.710200405314119,3.5156940041166362,10.00971817298348
3,3.514648830290321,12.001801396081964,2.911392316673741,23.03206997084548
4,3.1014776247010816,19.162350821886964,2.4172374479698413,35.47133138969874
5,2.8204219787240885,25.579824363882008,2.119378675114025,41.3022351797862
6,2.5519830623118995,30.80387300157622,2.009538142970114,44.99514091350826
7,2.4110419167031485,35.30736320648503,1.7348984678586323,52.672497570456756
8,2.284649585648406,37.086241837424005,1.8015363640857465,49.65986394557823
9,2.193760059720321,39.24791713578023,1.5836348497506343,55.393586005830905
10,2.07077181425026,42.985814005854536,1.508168805729259,56.17103984450923
11,1.9961218362231907,44.246791263229,1.4673317417953953,58.114674441205054
12,1.977658449317054,45.260076559333484,1.3329007065657414,62.779397473275026
13,1.8919158282039834,46.92636793514974,1.3332867830088644,61.80758017492711
14,1.8356545383124043,48.975455978383245,1.311487651232517,62.779397473275026
15,1.791898019879842,49.7185318621932,1.2805610822908806,64.43148688046647
16,1.7180469589267704,51.31727088493582,1.1953933600223425,66.47230320699708
17,1.6726372302007333,51.992794415672144,1.2526255557031343,64.23712342079689
18,1.6762434295613131,53.456428732267504,1.1851041741443402,66.1807580174927
19,1.6194882135597064,53.47894618329205,1.1613773130106204,66.3751214771623
20,1.5929731996796972,55.34789461832921,1.1722215648853418,67.83284742468416
21,1.5535324464599005,55.460481873451926,1.0887936087268772,69.38775510204081
22,1.5189089963762024,57.28439540643999,1.0605796440081163,71.23420796890184
23,1.5090232251359403,57.30691285746453,1.0774741714650935,68.80466472303208
24,1.486193354610059,58.16257599639721,1.0756433985450051,68.80466472303208
25,1.4628447461471283,58.63544246791263,1.0070642992628343,72.49757045675413
26,1.4209473441830642,58.88313442918262,1.01869862955628,71.42857142857143
27,1.3783146413110143,60.50439090294979,1.0151250226931139,72.78911564625851
28,1.3744367206696984,60.594460707047965,1.0129203611251079,72.30320699708454
29,1.367557060375488,61.269984237784286,0.9840084094215523,73.27502429543246
30,1.3831663213187841,61.96802521954515,0.9922178374095396,72.69193391642371
31,1.3423763535005584,61.54019365007881,0.994371979525595,71.03984450923227
32,1.3025243633942638,62.35082188696239,0.9581722928719087,72.10884353741497
33,1.315704250078407,62.03557757261878,0.9102545181910197,74.14965986394557
34,1.297326317365221,62.913758162575995,1.0306203981692141,70.74829931972789
35,1.2604911280192916,63.40914208511597,0.8931163125530337,75.99611273080662
36,1.2778706649224536,64.197252870975,0.8838081508028236,75.60738581146744
37,1.2549783939080272,64.10718306687683,0.9038265372316042,74.34402332361516
38,1.2533117052462461,64.94032875478496,0.9579790218761473,74.53838678328474
39,1.239299551188517,65.25557306912857,0.9259864822255842,74.92711370262391
40,1.1817881241976786,66.1337536590858,0.889302209019661,76.0932944606414
